variable,count,mean,std,min,25%,50%,75%,max,missing_observations,skewness,kurtosis,iqr,coefficient_of_variation,series_form,base_variable,label,unit,source_block
colombia_cocoa_price_cop_kg,53.0,17334.748640292742,9168.366460639196,7926.075,8914.925,12536.694,25687.8,34395.325,0,0.6010285977067712,-1.2933077989475414,16772.875,0.5289010328842221,level,colombia_cocoa_price_cop_kg,Colombian cocoa price,COP/kg,colombia_domestic_prices
world_cocoa_price_usd_mt,53.0,4943.435094339623,2660.6121691131843,2239.13,2512.31,3630.14,7089.17,10745.11,0,0.6009122991337824,-1.0473354498724858,4576.860000000001,0.5382112070531001,level,world_cocoa_price_usd_mt,World cocoa benchmark price,USD/metric_ton,international_prices
eu_hicp_chocolate_index,53.0,128.82867924528298,19.72674034807886,104.25,112.17,125.2,141.42,164.99,0,0.5185174503678078,-0.8770970369392979,29.249999999999986,0.15312382664825888,level,eu_hicp_chocolate_index,EU chocolate or cocoa consumer price index,index,eu_market_prices
cop_usd_exchange_rate,53.0,4147.159954759556,302.3324204603234,3773.384193548387,3922.212,4047.4116129032254,4307.567419354838,4926.660666666667,0,0.9872693477011928,0.1321387619178509,385.35541935483843,0.07290107537649872,level,cop_usd_exchange_rate,COP to USD exchange rate,COP/USD,macro_controls
brent_oil_usd_bbl,53.0,82.6133962264151,13.410039428525215,62.54,74.17,80.92,86.51,122.71,0,1.142231850956653,1.3693550802124386,12.340000000000003,0.162322819797565,level,brent_oil_usd_bbl,Brent oil price,USD/barrel,macro_controls
nasa_precipitation_mm_day,53.0,5.7256603773584915,3.5938620267135604,0.03,3.57,5.08,7.81,14.67,0,0.5678712403053695,-0.14620915647433774,4.24,0.6276764233039566,level,nasa_precipitation_mm_day,NASA precipitation,mm/day,climate_extension
nasa_temperature_c,53.0,25.900377358490566,1.4050923351320135,24.03,25.04,25.4,26.21,29.58,0,1.2115659058282928,0.6489981328545187,1.1700000000000017,0.05424987889882621,level,nasa_temperature_c,NASA air temperature,degC,climate_extension
nasa_temperature_max_c,53.0,31.930377358490563,3.042054570304135,28.67,30.01,30.79,31.94,39.15,0,1.2477455937727062,0.28689476248463874,1.9299999999999997,0.09527148821795012,level,nasa_temperature_max_c,NASA max air temperature,degC,climate_extension
nasa_temperature_min_c,53.0,21.546415094339622,0.866340877882867,19.22,21.03,21.64,22.12,23.39,0,-0.5297299138926889,0.25012306567716136,1.0899999999999999,0.04020812158726396,level,nasa_temperature_min_c,NASA min air temperature,degC,climate_extension
nasa_relative_humidity_pct,53.0,84.18830188679244,9.546283154241651,57.07,83.33,88.42,90.18,92.85,0,-1.5890735329184393,1.3195876420178014,6.8500000000000085,0.11339203832711209,level,nasa_relative_humidity_pct,NASA relative humidity,%,climate_extension
nasa_wind_speed_ms,53.0,0.13339622641509433,0.016864094336604747,0.09,0.12,0.13,0.14,0.17,0,-0.26148681871793755,0.7687935883791064,0.020000000000000018,0.1264210749420158,level,nasa_wind_speed_ms,NASA wind speed,m/s,climate_extension
nasa_surface_solar_radiation_mj_m2_day,53.0,18.246924603780446,1.1746265267246778,15.68,17.5,18.19,19.16,20.62,0,-0.06590026513050329,-0.40372632838317335,1.6600000000000001,0.06437394532124693,level,nasa_surface_solar_radiation_mj_m2_day,NASA surface solar radiation,MJ/m^2/day,climate_extension
